1e-09	1.00003e-08	
1e-09	1.00003e-08	
1e-09	1.00003e-08	
2e-09	1.00006e-08	
2e-09	1.00006e-08	
4e-09	1.00012e-08	
6e-09	1.00018e-08	
1.1e-08	1.00033e-08	
1.5e-08	1.00045e-08	
2.5e-08	1.00075e-08	
3.4e-08	1.0010200000000001e-08	
6.6e-08	1.00198e-08	
9.8e-08	1.00294e-08	
1.44e-07	1.00432e-08	
2.12e-07	1.00636e-08	
3.11e-07	1.00933e-08	
4.65e-07	1.01395e-08	
6.84e-07	1.02052e-08	
1.018e-06	1.03054e-08	
1.487e-06	1.04461e-08	
2.226e-06	1.06678e-08	
3.272e-06	1.09816e-08	
4.806e-06	1.14418e-08	
7.118e-06	1.2135400000000001e-08	
1.0475e-05	1.31425e-08	
1.5298e-05	1.4589400000000001e-08	
2.2932e-05	1.68796e-08	
3.3323e-05	1.9996899999999998e-08	
4.9703e-05	2.49109e-08	
7.4306e-05	3.22918e-08	
