0.3	4.4e-08	1.0013200000000001e-08	
0.31	6.6e-08	1.00198e-08	
0.32	9.8e-08	1.00294e-08	
0.32999999999999996	1.46e-07	1.00438e-08	
0.33999999999999997	2.14e-07	1.0064200000000001e-08	
0.35	3.16e-07	1.00948e-08	
0.36	4.68e-07	1.01404e-08	
0.37	6.93e-07	1.02079e-08	
0.38	1.015e-06	1.03045e-08	
0.39	1.491e-06	1.04473e-08	
0.4	2.206e-06	1.06618e-08	
0.41	3.294e-06	1.09882e-08	
0.42	4.851e-06	1.14553e-08	
0.43	7.072e-06	1.2121599999999999e-08	
0.44	1.0584e-05	1.31752e-08	
0.44999999999999996	1.5529e-05	1.46587e-08	
0.45999999999999996	2.3059e-05	1.69177e-08	
0.47	3.3705e-05	2.0111499999999998e-08	
0.48	5.0398e-05	2.51194e-08	
0.49	7.3482e-05	3.20446e-08	
0.5	0.000108937	4.26811e-08	
